model_layer,entrypoint,case_label,ScenarioMode,FailureTiming,SE_Disrupt,Rocket_Disrupt,param,baseline_value,factor,trial_value,policy,tau_star_bisect (yr),tau_build (yr),Time_total (yr),TotalCost ($B),E_total (index),EnvPenalty,Total_FE_Launches,Total_FA_Launches,Total_SE_Throughput (tons),Apex_Inventory_Peak (tons),route_share_direct,regime_label,SolverSuccess,ConstraintOK,BuildOK,OpsOK,ReturnStatus,TimeseriesCSV,status
campaign_scale,run_bridge_sensitivity.py,mixed_rocketfail,mixed,relative,OFF,ON,K_max_total_tpy,537000.0,1.2,644400.0,tau_star,8.4033203125,8.4033203125,9.4033203125,83929.61151303773,1070883423.7015445,13663334336498.695,838943.9095243532,1758.2860906382527,219355.15860348596,62874.32983928036,0.9979085506142255,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_rocketfail,mixed,relative,OFF,ON,K_max_total_tpy,537000.0,1.2,644400.0,cost_opt,8.4033203125,8.823486328221179,9.823486328221179,82372.01202295613,1051113229.1374058,12770969780690.7,823321.6437638055,1989.3640818934036,241459.7508508392,195158.0944843945,0.9975895582841113,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_rocketfail,mixed,relative,OFF,ON,alpha,0.02,0.8,0.016,tau_star,8.4520263671875,8.4520263671875,9.4520263671875,83638.97905843431,1066934656.383193,13501561962472.703,836147.274409903,1210.692936645214,151034.84453832722,43152.94951447136,0.9985541512902998,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_rocketfail,mixed,relative,OFF,ON,alpha,0.02,0.8,0.016,cost_opt,8.4520263671875,8.874627685645383,9.874627685645383,82418.35183537721,1051435205.8908075,12705704392004.441,823906.6242203267,1382.39452677148,166091.23642190144,143015.79970579845,0.9983249570812536,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_rocketfail,mixed,relative,OFF,ON,alpha,0.02,1.0,0.02,tau_star,8.4520263671875,8.4520263671875,9.4520263671875,83593.85859844048,1066483338.5713665,13492020047788.836,835640.151222268,1489.850604490091,185856.49547709565,52668.35217283151,0.9982202876479889,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_rocketfail,mixed,relative,OFF,ON,alpha,0.02,1.0,0.02,cost_opt,8.4520263671875,8.874627685645985,9.874627685645985,82393.06578364663,1051250032.4752777,12701228303012.137,823591.5858411711,1692.8037336777313,204499.42381470848,179629.4024021532,0.9979488237569236,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_rocketfail,mixed,relative,OFF,ON,alpha,0.02,1.2,0.024,tau_star,8.4033203125,8.4033203125,9.4033203125,83931.56444951246,1070903315.0144658,13663840405805.66,838965.689829975,1747.0490231184647,217944.21042227707,62575.154548789425,0.9979219429629415,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_rocketfail,mixed,relative,OFF,ON,alpha,0.02,1.2,0.024,cost_opt,8.4033203125,8.823486328222883,9.823486328222883,82373.06073033204,1051120654.1731968,12771167352960.95,823334.7395541259,1976.341824594268,239753.71030936914,202271.68012334075,0.9976053371035649,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_rocketfail,mixed,relative,OFF,ON,r,0.18,0.8,0.144,tau_star,8.4520263671875,8.4520263671875,9.4520263671875,83630.85644201135,1066853383.7957102,13499832320577.756,836055.9855597322,1260.9281485295592,157292.27010659766,45036.85459503643,0.9984940849421693,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_rocketfail,mixed,relative,OFF,ON,r,0.18,0.8,0.144,cost_opt,8.4520263671875,8.874627685643645,9.874627685643645,82414.96158521963,1051410224.5280945,12705091927998.707,823864.3672298545,1424.1036763613417,171154.82783378498,141009.04727147476,0.998274417095882,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_rocketfail,mixed,relative,OFF,ON,r,0.18,1.0,0.18,tau_star,8.4520263671875,8.4520263671875,9.4520263671875,83593.85859844048,1066483338.5713665,13492020047788.836,835640.151222268,1489.850604490091,185856.49547709565,52668.35217283151,0.9982202876479889,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_rocketfail,mixed,relative,OFF,ON,r,0.18,1.0,0.18,cost_opt,8.4520263671875,8.874627685645985,9.874627685645985,82393.06578364663,1051250032.4752777,12701228303012.137,823591.5858411711,1692.8037336777313,204499.42381470848,179629.4024021532,0.9979488237569236,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_rocketfail,mixed,relative,OFF,ON,r,0.18,1.2,0.216,tau_star,8.4033203125,8.4033203125,9.4033203125,83931.51179120125,1070902998.9510953,13663829658160.34,838965.0852905001,1747.437054240909,218084.26564962478,62076.80370749543,0.9979214808774736,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_rocketfail,mixed,relative,OFF,ON,r,0.18,1.2,0.216,cost_opt,8.4033203125,8.82348632822094,9.82348632822094,82371.55258898909,1051110401.840194,12770889686665.375,823315.8911909531,1995.143331736879,242413.03622362288,194112.63536832918,0.9975825558507275,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_rocketfail,mixed,relative,OFF,ON,delta_eff,0.8714,0.8,0.69712,tau_star,8.4520263671875,8.4520263671875,9.4520263671875,83640.23884525316,1066947313.6774746,13501830023425.99,836161.4310377145,1202.9109542414153,150089.58749000035,42913.574082480074,0.9985634557218189,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_rocketfail,mixed,relative,OFF,ON,delta_eff,0.8714,0.8,0.69712,cost_opt,8.4520263671875,8.874627685645164,9.874627685645164,82419.11887039618,1051440737.2941879,12705841124707.566,823916.218564593,1372.7894257022292,164901.69138292468,141575.61749115915,0.9983365955290678,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
